category,title,content,source
condition,Common Cold,"Symptoms may include sneezing, sore throat, mild fever, runny nose, and cough. General precautions include rest, warm fluids, and monitoring for worsening symptoms such as difficulty breathing or persistent high fever.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Seasonal Flu,"Flu often presents with fever, body aches, fatigue, headache, sore throat, and cough. Mild cases benefit from hydration, rest, and fever monitoring. Seek urgent care for breathing difficulty, confusion, blue lips, or dehydration.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Strep Throat,"Strep throat can involve sore throat, fever, painful swallowing, and swollen glands. Medical testing is often required to confirm the diagnosis. Encourage doctor evaluation if symptoms are significant or persistent.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Migraine,"Possible signs include throbbing headache, nausea, sensitivity to light, and sensitivity to sound. Hydration, rest in a dark room, and routine OTC pain relief may help some people if previously tolerated.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Food Poisoning,"Food poisoning can cause nausea, vomiting, diarrhea, stomach cramps, and weakness. The main precautions are hydration, bland foods, and emergency evaluation if severe dehydration, blood in stool, or persistent vomiting occurs.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Allergic Rhinitis,"Symptoms may include sneezing, itchy eyes, congestion, and runny nose. General steps include avoiding triggers, using clean indoor air, and considering common OTC antihistamines if already known to be safe for the user.",Sample healthcare knowledge base inspired by public symptom datasets
otc,Paracetamol,"Paracetamol or acetaminophen is commonly used for fever and mild pain. Remind users to follow label directions, avoid exceeding package limits, and avoid duplicate combination medicines that also contain acetaminophen.",openFDA OTC labeling concepts
otc,Ibuprofen,"Ibuprofen may help mild pain, headache, or fever for some adults. Avoid suggesting it for people with stomach ulcers, kidney issues, NSAID allergy, or certain pregnancy situations. Advise label-based dosing only.",openFDA OTC labeling concepts
otc,Oral Rehydration,"Oral rehydration solutions can support hydration during mild vomiting or diarrhea. Encourage small frequent sips and urgent evaluation if the patient cannot keep fluids down or shows dehydration warning signs.",General hydration guidance
otc,Saline Nasal Spray,"Saline nasal spray may help with congestion and nasal dryness. It is general supportive care and does not replace medical evaluation for severe infection symptoms.",General OTC support guidance
precaution,Fever Care,"Rest, adequate fluids, light meals, and temperature monitoring are common supportive measures. High fever, confusion, seizures, or breathing problems need urgent medical care.",General symptom precaution guidance
precaution,Sore Throat Care,"Warm fluids, salt-water gargles, hydration, and rest may offer relief. Seek care for drooling, severe swelling, breathing trouble, or symptoms that persist.",General symptom precaution guidance
precaution,Headache Care,"Hydration, rest, sleep, and reducing bright light may help some headaches. Emergency care is recommended for sudden severe headache, neurological deficits, or head injury.",General symptom precaution guidance
emergency,Chest Pain Warning,"Chest pain, chest pressure, pain radiating to the jaw or arm, fainting, or shortness of breath may represent an emergency. The assistant must advise immediate medical attention.",Emergency symptom rule base
emergency,Breathing Difficulty Warning,"Shortness of breath, wheezing with distress, blue lips, or inability to speak in full sentences can indicate emergency danger. Advise immediate medical attention.",Emergency symptom rule base
emergency,Stroke Warning,"Face drooping, arm weakness, speech difficulty, confusion, or sudden one-sided numbness are emergency stroke warning signs. Advise immediate medical attention immediately.",Emergency symptom rule base
condition,Asthma,"Symptoms include shortness of breath, chest tightness, wheezing, and coughing. Avoid known triggers and use prescribed inhalers. Seek emergency care for severe breathlessness.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Gastroenteritis,"Often called stomach flu. Symptoms are watery diarrhea, abdominal cramps, nausea, vomiting, and sometimes fever. The most important precaution is replacing lost fluids and electrolytes to prevent dehydration.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Hypertension,"High blood pressure often has no symptoms but can cause headaches, shortness of breath, or nosebleeds in severe cases. Lifestyle changes include reducing sodium, regular exercise, and stress management.",Sample healthcare knowledge base inspired by public symptom datasets
condition,Type 2 Diabetes,"Symptoms can include increased thirst, frequent urination, increased hunger, unintended weight loss, fatigue, and blurred vision. Management includes blood sugar monitoring, a healthy diet, and physical activity.",Sample healthcare knowledge base inspired by public symptom datasets
otc,Antihistamines,"Antihistamines like Cetirizine or Loratadine can relieve allergy symptoms such as sneezing, itching, runny nose, and watery eyes. Warn users about potential drowsiness with some types and advise following label directions.",openFDA OTC labeling concepts
otc,Antacids,"Antacids can neutralize stomach acid and relieve heartburn, indigestion, and upset stomach. They are for short-term use. Advise users to see a doctor if symptoms persist for more than 2 weeks.",openFDA OTC labeling concepts
precaution,Dehydration Care,"Drink plenty of fluids, such as water, clear broths, or oral rehydration solutions. Avoid caffeine and alcohol. Seek medical help if unable to keep fluids down or if experiencing severe dizziness or confusion.",General symptom precaution guidance
emergency,Severe Bleeding,"Continuous bleeding that doesn't stop after 10 minutes of direct pressure, or blood that is spurting, is a medical emergency. Advise immediate medical attention.",Emergency symptom rule base
